id,public_id,name,entries_count,reviewed,created_by,created_at,updated_by,updated_at
289,SDBM_LNG_289,'Varied' Qu' ot ' es,0,false,hellerb,"April 28, 2016 09:19",hellerb,"April 28, 2016 09:19"
288,SDBM_LNG_288,'Language in quotes',0,false,hellerb,"April 28, 2016 09:18",hellerb,"April 28, 2016 09:18"
287,SDBM_LNG_287,Entropy,0,false,hellerb,"March 29, 2016 09:35",hellerb,"March 29, 2016 09:35"
286,SDBM_LNG_286,"Greek, Koine ",1,false,mbudisin92,"December 08, 2015 11:51",mbudisin92,"March 09, 2016 14:50"
285,SDBM_LNG_285,"English, Tudor",1,false,stew,"December 06, 2015 14:28",stew,"December 06, 2015 14:28"
284,SDBM_LNG_284,"Hieratic, Abnormal",1,false,stew,"November 15, 2015 19:32",stew,"November 15, 2015 19:32"
283,SDBM_LNG_283,"German, Middle Franconian",2,false,(none),"",(none),""
282,SDBM_LNG_282,"German, Rhenish Franconian",2,false,(none),"",(none),""
281,SDBM_LNG_281,Telugu,1,false,(none),"",(none),""
280,SDBM_LNG_280,Mandaic,1,false,(none),"",(none),""
279,SDBM_LNG_279,Totonac,1,false,(none),"",(none),""
278,SDBM_LNG_278,Spanish (Hebrew characters),1,false,(none),"",(none),""
277,SDBM_LNG_277,Ladino,1,false,(none),"",(none),""
276,SDBM_LNG_276,Lithuanian,1,false,(none),"",(none),""
275,SDBM_LNG_275,Farsi,3,false,(none),"",(none),""
274,SDBM_LNG_274,"German, Ripuarian",2,false,(none),"",(none),""
273,SDBM_LNG_273,"French, Wallonian dialect",1,false,(none),"",(none),""
272,SDBM_LNG_272,"Occitan, Old",1,false,(none),"",(none),""
271,SDBM_LNG_271,Serbian,1,false,(none),"",(none),""
270,SDBM_LNG_270,Bulgarian,1,true,(none),"",(none),""
269,SDBM_LNG_269,Scots,4,false,(none),"",(none),""
268,SDBM_LNG_268,"Irish, Middle",1,false,(none),"",(none),""
267,SDBM_LNG_267,Breton,1,false,(none),"",(none),""
266,SDBM_LNG_266,Ukrainian,1,false,(none),"",(none),""
265,SDBM_LNG_265,"Welsh, Old",2,true,(none),"",(none),""
264,SDBM_LNG_264,"Welsh, Middle",1,true,(none),"",(none),""
263,SDBM_LNG_263,"Italian, Ferrarese",1,false,(none),"",(none),""
262,SDBM_LNG_262,"Coptic, Bohairic",3,false,(none),"",(none),""
261,SDBM_LNG_261,"Coptic, Faiyumic",2,false,(none),"",(none),""
260,SDBM_LNG_260,"Italian, Bolognese",1,false,(none),"",(none),""
259,SDBM_LNG_259,Dalmatian,1,false,(none),"",(none),""
258,SDBM_LNG_258,Karen,1,false,(none),"",(none),""
257,SDBM_LNG_257,"Arabic, Melkite",1,false,(none),"",(none),""
256,SDBM_LNG_256,"Prakrit, Jain",1,false,(none),"",(none),""
255,SDBM_LNG_255,"Prakrit, Ardhamagadhi",1,false,(none),"",(none),""
254,SDBM_LNG_254,"Scots, Middle",1,false,(none),"",(none),""
253,SDBM_LNG_253,"French, Gascon",2,false,(none),"",(none),""
252,SDBM_LNG_252,"Gaelic, Scottish",1,false,(none),"",(none),""
251,SDBM_LNG_251,"Turkish, Ottoman",8,false,(none),"",(none),""
250,SDBM_LNG_250,"Slavonic, Church",2,false,(none),"",(none),""
249,SDBM_LNG_249,"Greek, Ancient",31,false,(none),"",(none),""
248,SDBM_LNG_248,Longobardian,1,false,(none),"",(none),""
247,SDBM_LNG_247,"French, Middle",83,false,(none),"",(none),""
246,SDBM_LNG_246,"""Denwistica"" [Punjabi]",1,false,(none),"",(none),""
245,SDBM_LNG_245,"Hebrew, Latin?, Greek",1,false,(none),"",(none),""
244,SDBM_LNG_244,Law French,7,false,(none),"",(none),""
243,SDBM_LNG_243,"Scottish, Old",1,false,(none),"",(none),""
242,SDBM_LNG_242,Gothic,1,false,(none),"",(none),""
241,SDBM_LNG_241,Moghul,1,false,(none),"",(none),""
240,SDBM_LNG_240,Frankish,1,false,(none),"",(none),""
239,SDBM_LNG_239,"English, Norman-Saxon",7,false,(none),"",(none),""
238,SDBM_LNG_238,Swahili,55,false,(none),"",(none),""
237,SDBM_LNG_237,Tupinamba,1,false,(none),"",(none),""
236,SDBM_LNG_236,Cornish,2,false,(none),"",(none),""
235,SDBM_LNG_235,"English,  Scots",3,false,(none),"",(none),""
234,SDBM_LNG_234,Malabar,4,false,(none),"",(none),""
233,SDBM_LNG_233,"Persian, Tabrizi",1,false,(none),"",(none),""
232,SDBM_LNG_232,"Persian, Herati",1,false,(none),"",(none),""
231,SDBM_LNG_231,Samaritan Aramaic,4,false,(none),"",(none),""
230,SDBM_LNG_230,Cufic/Semi-cufic,1,false,(none),"",(none),""
229,SDBM_LNG_229,"Syriac, Palestinian",1,false,(none),"",(none),""
228,SDBM_LNG_228,Sumerian,1,false,(none),"",(none),""
